PreferredPaymentMode,CityTier,用户数,流失人数,流失率,平均订单数,样本提示
Cash on Delivery,2,16,8,0.5,1.75,小样本
Cash on Delivery,3,132,40,0.30303030303030304,2.909090909090909,可观察
UPI,3,58,16,0.27586206896551724,2.9482758620689653,可观察
UPI,2,114,28,0.24561403508771928,2.4649122807017543,可观察
E wallet,3,614,140,0.2280130293159609,3.011400651465798,可观察
Cash on Delivery,1,366,80,0.2185792349726776,3.098360655737705,可观察
Debit Card,3,576,116,0.2013888888888889,3.0572916666666665,可观察
Credit Card,3,342,56,0.16374269005847952,3.5994152046783627,可观察
Credit Card,2,50,8,0.16,3.26,可观察
Debit Card,1,1676,236,0.14081145584725538,2.9194510739856803,可观察
Credit Card,1,1382,188,0.13603473227206947,2.9052098408104197,可观察
UPI,1,242,28,0.11570247933884298,2.5371900826446283,可观察
Debit Card,2,62,4,0.06451612903225806,2.435483870967742,可观察
